Price,Close,High,Low,Open,Volume
Ticker,JPM,JPM,JPM,JPM,JPM
Date,,,,,
2003-07-03,18.746234893798828,18.861578932527404,18.510053045777703,18.56497817986001,4376600
2003-07-07,19.262542724609375,19.35591798841546,18.894539631737267,18.938479330094218,9773400
2003-07-08,19.443801879882812,19.46577068414236,19.169171921665598,19.262545101734506,6165500
2003-07-09,19.586605072021484,19.83926408603186,19.443798440920812,19.487738136928737,9640700
2003-07-10,19.229591369628906,19.570134072754005,19.070307564582006,19.471267106719054,7622500
2003-07-11,19.641525268554688,19.756871393949556,19.322955743143496,19.33943286308873,6973600
2003-07-14,20.487401962280273,20.63021076616659,19.65252633230671,20.037008833582323,12088000
2003-07-15,20.481903076171875,20.80596651525857,20.328108872619666,20.619218057221147,11553500
2003-07-16,19.910676956176758,21.014688742728623,19.773361942685884,21.014688742728623,14435700
2003-07-17,19.24606704711914,19.910671011110306,19.125229200844313,19.910671011110306,12002000
2003-07-18,19.405351638793945,19.498724808207008,19.141705065163983,19.350424396262678,7596000
2003-07-21,18.911014556884766,19.284511378141897,18.4002027894378,19.279017606948816,11938000
2003-07-22,19.191144943237305,19.25705765628137,18.817647950363977,18.949471281191347,9538500
2003-07-23,19.147197723388672,19.295498126707407,19.00438899637362,19.279018907276477,7764200
2003-07-24,18.9934024810791,19.42182440026568,18.960446142964905,19.416330629616855,8595200
2003-07-25,19.482248306274414,19.504217108729595,18.932988434952417,19.086780528439334,8693400
2003-07-28,19.493236541748047,19.674491235659932,19.31197975257573,19.482251091319988,8228700
2003-07-29,19.35591697692871,19.548157075807,19.08677874323917,19.54266539952188,9207500
2003-07-30,19.257057189941406,19.54267265376678,19.24057796444908,19.498730846134855,5860400
2003-07-31,19.25156021118164,19.66899893314307,19.21311218353524,19.581117427771247,8761300
2003-08-01,18.32330894470215,19.273528234468987,18.251904577476882,19.268036557879373,20439300
2003-08-04,18.526540756225586,18.56498879111098,17.796025998142333,18.32331512965125,15744400
2003-08-05,17.993755340576172,18.51006104316501,17.977278212284347,18.48259846425848,12309200
2003-08-06,18.120088577270508,18.27388070895441,17.850950251563024,18.125580255433224,12232200
2003-08-07,18.04318618774414,18.16951780374797,17.861931517202407,17.99375271482182,9218200
2003-08-08,18.120088577270508,18.257403579205608,17.93883176899106,18.24641812761952,6296700
2003-08-11,18.24641990661621,18.4990790319481,18.092625664676966,18.120090343950267,6982000
2003-08-12,18.47710418701172,18.554000243955414,18.29035572217972,18.38373100222592,8519300
2003-08-13,18.36175537109375,18.581460130268265,18.196977849342794,18.564980911411265,6716000
2003-08-14,18.619911193847656,18.647373769420607,18.240920527056254,18.36175837388948,6993000
2003-08-15,18.48809242248535,18.674840915450282,18.389225450017992,18.674840915450282,3542300
2003-08-18,18.702301025390625,18.729763604054313,18.488089978449253,18.729763604054313,7126400
2003-08-19,18.779193878173828,18.90003171797975,18.581462088391536,18.75722507614919,8275200
